Yelp Category,LOD Resource name,LOD Resource URL
Massage Schools,School,http://dbpedia.org/resource/School
Massage Therapy,Massage,http://dbpedia.org/resource/Massage
Massage Therapy,Therapy,http://dbpedia.org/resource/Therapy
Maternity Wear,Maternity_clothing,http://dbpedia.org/resource/Maternity_clothing
Mattresses,Mattress,http://dbpedia.org/resource/Mattress
Meat Shops,Meat_market,http://dbpedia.org/resource/Meat_market
Medical Centers,Academic_health_science_centre,http://dbpedia.org/resource/Academic_health_science_centre
Medical Centers,Clinic,http://dbpedia.org/resource/Clinic
Medical Centers,Hospital,http://dbpedia.org/resource/Hospital
Medical Spas,Medicine,http://dbpedia.org/resource/Medicine
Medical Spas,Spa,http://dbpedia.org/resource/Spa
Mediterranean,Mediterranean_cuisine,http://dbpedia.org/resource/Mediterranean_cuisine
"Men""s Clothing",Clothing,http://dbpedia.org/resource/Clothing
"Men""s Clothing",Man,http://dbpedia.org/resource/Man
"Men""s Hair Salons",Hairdresser,http://dbpedia.org/resource/Hairdresser
"Men""s Hair Salons",Man,http://dbpedia.org/resource/Man
Mexican,Mexican_cuisine,http://dbpedia.org/resource/Mexican_cuisine
Middle Eastern,Middle_Eastern_cuisine,http://dbpedia.org/resource/Middle_Eastern_cuisine
Mini Golf,Miniature_golf,http://dbpedia.org/resource/Miniature_golf
Mobile Phone Repair,"Maintenance,_repair,_and_operations","http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Mobile Phone Repair,Mobile_phone,http://dbpedia.org/resource/Mobile_phone
Mobile Phones,Mobile_phone,http://dbpedia.org/resource/Mobile_phone
Modern European,European_cuisine,http://dbpedia.org/resource/European_cuisine
Mongolian,Mongolian_cuisine,http://dbpedia.org/resource/Mongolian_cuisine
Moroccan,Moroccan_cuisine,http://dbpedia.org/resource/Moroccan_cuisine
Mortgage Brokers,Mortgage_broker,http://dbpedia.org/resource/Mortgage_broker
Motorcycle Rental,Renting,http://dbpedia.org/resource/Renting
Motorcycle Repair,"Maintenance,_repair,_and_operations","http://dbpedia.org/resource/Maintenance,_repair,_and_operations"
Movers,Moving_company,http://dbpedia.org/resource/Moving_company
Museums,Museum,http://dbpedia.org/resource/Museum
Music & DVDs,DVD,http://dbpedia.org/resource/DVD
Music & DVDs,Music,http://dbpedia.org/resource/Music
Music Venues,Music_venue,http://dbpedia.org/resource/Music_venue
Musical Instrument Services,Musical_instrument,http://dbpedia.org/resource/Musical_instrument
Musical Instruments & Teachers,Music_education,http://dbpedia.org/resource/Music_education
Musical Instruments & Teachers,Musical_instrument,http://dbpedia.org/resource/Musical_instrument
Musicians,Musician,http://dbpedia.org/resource/Musician
Nail Salons,Nail_salon,http://dbpedia.org/resource/Nail_salon
Nanny Services,Nanny,http://dbpedia.org/resource/Nanny
Naturopathic/Holistic,Naturopathy,http://dbpedia.org/resource/Naturopathy
New Mexican Cuisine,New_Mexican_cuisine,http://dbpedia.org/resource/New_Mexican_cuisine
Newspapers & Magazines,Magazine,http://dbpedia.org/resource/Magazine
Newspapers & Magazines,Newspaper,http://dbpedia.org/resource/Newspaper
Nightlife,Nightlife,http://dbpedia.org/resource/Nightlife
Noodles,Noodle,http://dbpedia.org/resource/Noodle
Notaries,Notary_public,http://dbpedia.org/resource/Notary_public
Nurseries & Gardening,Plant_nursery,http://dbpedia.org/resource/Plant_nursery
Nutritionists,Nutritionist,http://dbpedia.org/resource/Nutritionist
Obstetricians & Gynecologists,Obstetrics_and_gynaecology,http://dbpedia.org/resource/Obstetrics_and_gynaecology
Office Equipment,Office_supplies,http://dbpedia.org/resource/Office_supplies
Oil Change Stations,Motor_oil,http://dbpedia.org/resource/Motor_oil
Ophthalmologists,Ophthalmology,http://dbpedia.org/resource/Ophthalmology
Optometrists,Optometry,http://dbpedia.org/resource/Optometry
Oral Surgeons,Oral_and_maxillofacial_surgery,http://dbpedia.org/resource/Oral_and_maxillofacial_surgery
Organic Stores,Organic_food,http://dbpedia.org/resource/Organic_food
Orthodontists,Orthodontics,http://dbpedia.org/resource/Orthodontics
Orthopedists,Orthopedic_surgery,http://dbpedia.org/resource/Orthopedic_surgery
Outlet Stores,Outlet_store,http://dbpedia.org/resource/Outlet_store
Paint Stores,Retail,http://dbpedia.org/resource/Retail
Paintball,Paintball,http://dbpedia.org/resource/Paintball
Pakistani,Pakistani_cuisine,http://dbpedia.org/resource/Pakistani_cuisine
Parks,Park,http://dbpedia.org/resource/Park
Party & Event Planning,Event_management,http://dbpedia.org/resource/Event_management
Party & Event Planning,Party,http://dbpedia.org/resource/Party
Party Equipment Rentals,Party,http://dbpedia.org/resource/Party
Pawn Shops,Pawnbroker,http://dbpedia.org/resource/Pawnbroker
Pediatric Dentists,Pediatric_dentistry,http://dbpedia.org/resource/Pediatric_dentistry
Pediatricians,Pediatrics,http://dbpedia.org/resource/Pediatrics
Performing Arts,Performing_arts,http://dbpedia.org/resource/Performing_arts
Persian/Iranian,Iranian_cuisine,http://dbpedia.org/resource/Iranian_cuisine
Peruvian,Peruvian_cuisine,http://dbpedia.org/resource/Peruvian_cuisine
Pest Control,Pest_control,http://dbpedia.org/resource/Pest_control
Pet Adoption,Pet_adoption,http://dbpedia.org/resource/Pet_adoption
Pet Boarding/Pet Sitting,Pet_sitting,http://dbpedia.org/resource/Pet_sitting
Pet Groomers,Dog_grooming,http://dbpedia.org/resource/Dog_grooming
Pet Services,Pet,http://dbpedia.org/resource/Pet
Pet Stores,Pet_store,http://dbpedia.org/resource/Pet_store
Pet Training,Animal_training,http://dbpedia.org/resource/Animal_training
Pets,Pet,http://dbpedia.org/resource/Pet
Photography Stores & Services,Photography,http://dbpedia.org/resource/Photography
Photography Stores & Services,Retail,http://dbpedia.org/resource/Retail
Physical Therapy,Physical_therapy,http://dbpedia.org/resource/Physical_therapy
Piano Bars,Piano_bar,http://dbpedia.org/resource/Piano_bar
Pick Your Own Farms,U_Pick_and_Pick_Your_Own_(PYO)_Farms,http://dbpedia.org/resource/U_Pick_and_Pick_Your_Own_(PYO)_Farms
Piercing,Body_piercing,http://dbpedia.org/resource/Body_piercing
Pilates,Pilates,http://dbpedia.org/resource/Pilates
Pizza,Pizza,http://dbpedia.org/resource/Pizza
Playgrounds,Playground,http://dbpedia.org/resource/Playground
Plumbing,Plumbing,http://dbpedia.org/resource/Plumbing
Poke,Poke_(fish_salad),http://dbpedia.org/resource/Poke_(fish_salad)
